Project name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Brief description,Projects image,Project type,Project details,Project link,Project images,Project video,Project site,Project source,Project software used,Next,Previus
Anatomy Male 2,anatomy-male-2,603491e57797bb623d153c75,605fcb5e53c539383fa44003,Sun Mar 28 2021 00:18:38 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:30:19 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:30:25 GMT+0000 (Coordinated Universal Time),"Personal project to study male body anatomy. This is my results after I take a lot of different individual courses, tutorial and training like from Rafael Grassetti and Scott-Eaton.",https://uploads-ssl.webflow.com/603491e542884769611f74df/605fcbdee5454a694a1dcf7b_juan-diego-lugo-anatomy-male-2-front-view.jpg,3D Character Artist ,"<p>Personal project to study male body anatomy. This is my results after I take a lot of different individual courses, tutorial and training like from Rafael Grassetti and Scott-Eaton.</p>",https://www.artstation.com/artwork/Qkwo4,https://uploads-ssl.webflow.com/603491e542884769611f74df/605fcaeab4f92e20fa531ddb_juan-diego-lugo-anatomy-male-2.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/605fcae9abaa95288019d22b_juan-diego-lugo-anatomy-male-2-close-view.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/605fcae93975b084d3b5fdb0_juan-diego-lugo-anatomy-male-2-face-view.jpg,,https://www.artstation.com/artwork/Qkwo4,,,https://juan-diegos-portfolio.webflow.io/projects/anatomy-sketch,https://juan-diegos-portfolio.webflow.io/projects/converse
Anatomy Male,anatomy-male-3,603491e57797bb623d153c75,6060fbad53c5392b18a8f032,Sun Mar 28 2021 21:57:01 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:32:51 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:34:05 GMT+0000 (Coordinated Universal Time),Anatomy Male,https://uploads-ssl.webflow.com/603491e542884769611f74df/605fcbdee5454a694a1dcf7b_juan-diego-lugo-anatomy-male-2-front-view.jpg,,,,https://uploads-ssl.webflow.com/603491e542884769611f74df/605fcbdee5454a694a1dcf7b_juan-diego-lugo-anatomy-male-2-front-view.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fb9e1a0eb24e46c01c9e_juan-diego-lugo-anatomy-male-close-view.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fb9e5c9d2be0673e6fcd_juan-diego-lugo-anatomy-male-face-view.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fb8eb7296d5ca81a629a_juan-diego-lugo-anatomy-male-front-view.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fb9e729114acc8397ea8_juan-diego-lugo-anatomy-male-front-view2.jpg,,https://www.artstation.com/artwork/NYe4P,,,https://juan-diegos-portfolio.webflow.io/projects/gandalf-wip,https://juan-diegos-portfolio.webflow.io/projects/anatomy-woman
Anatomy Sketch,anatomy-sketch,603491e57797bb623d153c75,6060fa760b0de330e77b1c0c,Sun Mar 28 2021 21:51:50 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:24:53 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:29:17 GMT+0000 (Coordinated Universal Time),Personal project to study male body anatomy. I am trying to do anatomy in every time that I can and improve my skill of artist every day.,https://uploads-ssl.webflow.com/603491e542884769611f74df/6137efda6933b97705ec3f9c_juan-diego-lugo-anatomy-sketch-front-view1.jpg,3D Character Artist ,,,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fa057fdaa4615b625935_juan-diego-lugo-anatomy-sketch.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fa050d123b2e8d30be0a_juan-diego-lugo-anatomy-sketch-2.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fa05465d71ccd6460f06_juan-diego-lugo-anatomy-sketch-front-view.jpg,,https://www.artstation.com/artwork/k1KeA,,,https://juan-diegos-portfolio.webflow.io/projects/anatomy-woman,https://juan-diegos-portfolio.webflow.io/projects/anatomy-male-2
Anatomy Woman,anatomy-woman,603491e57797bb623d153c75,6060fb690d123bcb3530c3ed,Sun Mar 28 2021 21:55:53 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:32:28 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:34:05 GMT+0000 (Coordinated Universal Time),"Personal project to study woman body anatomy. This is my results after I take a lot of different individual courses, tutorial and training like from Rafael Grassetti and Scott-Eaton.",https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fb658c5edc636d953ae8_juan-diego-lugo-anatomy-woman-front-view1.jpg,,,,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fb22b4f92ea27b576484_juan-diego-lugo-anatomy-woman-close-view.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fb2253c539c3dea8ee1c_juan-diego-lugo-anatomy-woman-face-view.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fb231d29843d703bd9bb_juan-diego-lugo-anatomy-woman-front-view.jpg,,https://www.artstation.com/artwork/GDL2B,,,https://juan-diegos-portfolio.webflow.io/projects/anatomy-male-3,https://juan-diegos-portfolio.webflow.io/projects/anatomy-sketch
Chichiroo,chichiroo,603491e57797bb623d153c75,6060fe395c46969b587b302f,Sun Mar 28 2021 22:07:53 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:28:48 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:29:17 GMT+0000 (Coordinated Universal Time),Stylized Kid inspired and taking as a reference the Kid from the Unreal Engine 4 - Kite Trailer Tech Demo. ,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fe2934d3b8e2f3c108bd_Chichiroo.JPG,,,,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fe2934d3b8e2f3c108bd_Chichiroo.JPG,,,,,https://juan-diegos-portfolio.webflow.io/projects/nathan-drake-fan-version-uncharted-4-fan-art,https://juan-diegos-portfolio.webflow.io/projects/fat-man
Chines Character,chines-character,603491e57797bb623d153c75,6060fdf1ac9d033bd71fbae1,Sun Mar 28 2021 22:06:41 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:27:50 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:29:17 GMT+0000 (Coordinated Universal Time),Stylized Kid inspired and taking as a reference the Kid from the Unreal Engine 4 - Kite Trailer Tech Demo. ,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fddf8c5edc0b4e953ec6_Chines%20Character%20render.JPG,,,,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fdeb9a7d3d5754fe0daf_Chines%20Character%20painting.JPG; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fddf8c5edc0b4e953ec6_Chines%20Character%20render.JPG; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fdeb9c5aa5675a584a9c_Chines%20Character%20render2.JPG; https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fded8c5edc6b6f953ec9_Chines%20Character.JPG,,,,,https://juan-diegos-portfolio.webflow.io/projects/fat-man,https://juan-diegos-portfolio.webflow.io/projects/chines-character-man
Chines Character man,chines-character-man,603491e57797bb623d153c75,6060fd7db7296d31891a6c21,Sun Mar 28 2021 22:04:45 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:27:24 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:29:17 GMT+0000 (Coordinated Universal Time),Stylized Kid inspired and taking as a reference the Kid from the Unreal Engine 4 - Kite Trailer Tech Demo. ,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fd6babaa9571851e0b49_Chines%20Character%20man.JPG,,,,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fd6babaa9571851e0b49_Chines%20Character%20man.JPG,,,,,https://juan-diegos-portfolio.webflow.io/projects/chines-character,https://juan-diegos-portfolio.webflow.io/projects/kid-face
Converse,converse,603491e57797bb623d153c75,603ffe71e400f2f27259bfda,Wed Mar 03 2021 21:24:01 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:23:52 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:29:17 GMT+0000 (Coordinated Universal Time),"Freelance project that I did, mainly focus on doing a converse that look realistic in 3d model using photos as a reference to doing this protect. ",https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fc4b150ebe39f4eb71c3_juan-diego-lugo-update-09-04.jpg,3D Character Artist ,"<p>Freelance project that I did, mainly focus on doing a converse that look realistic in 3d model using photos &nbsp;as a reference to doing this protect.</p>",,https://uploads-ssl.webflow.com/603491e542884769611f74df/603ffe38caa8e93f05703583_juan-diego-lugo-update-09-01.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/603ffe39bc3dfbec144c5b66_juan-diego-lugo-update-09-02.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/603ffe3863a2e098fb6aad01_juan-diego-lugo-update-09-03.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/603ffe3823a9fb67972d7e7e_juan-diego-lugo-update-09-04.jpg,,https://www.artstation.com/artwork/xPwr1,,,https://juan-diegos-portfolio.webflow.io/projects/anatomy-male-2,https://juan-diegos-portfolio.webflow.io/projects/styled-man
Face,face,603491e57797bb623d153c75,6035b9232bc7e683c58fff4b,Wed Feb 24 2021 02:25:39 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:22:54 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:29:17 GMT+0000 (Coordinated Universal Time),Personal project to study mainly focus on human anatomy and likeness study I use Anderson Silva as a reference to doing this protect.,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fc68049b4f831b8ba38a_juan-diego-lugo-face-thumbail.jpg,3D Character Artist ,"<p>Personal project to study mainly focus on human anatomy and likeness study I use Anderson Silva as a reference to doing this protect. This is my results after I take a lot of different individual courses, tutorial and training like from Frank Tzeng, Rafael Grassetti and Scott-Eaton.</p>",,https://uploads-ssl.webflow.com/603491e542884769611f74df/6035b8f6575dad2917385fa5_juan-diego-lugo-face.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6035b8f6a7b4e19addcf6b40_juan-diego-lugo-face-close-view.jpg; https://uploads-ssl.webflow.com/603491e542884769611f74df/6035b8f64165bcea1468a62b_juan-diego-lugo-face-front.jpg,,https://www.artstation.com/artwork/4Bznq,,https://uploads-ssl.webflow.com/603491e542884769611f74df/603576c122ed4a879be4ed74_zBrush3.png,https://juan-diegos-portfolio.webflow.io/projects/styled-man,https://juan-diegos-portfolio.webflow.io/projects/nathan-drake-uncharted-4-fan-art
Fat Man,fat-man,603491e57797bb623d153c75,6060fe151766b74ca3baf4a9,Sun Mar 28 2021 22:07:17 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:28:20 GMT+0000 (Coordinated Universal Time),Thu Sep 09 2021 22:29:17 GMT+0000 (Coordinated Universal Time),Stylized Kid inspired and taking as a reference the Kid from the Unreal Engine 4 - Kite Trailer Tech Demo. ,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fe040d123b5c8830d070_Fat%20Man.JPG,,,,https://uploads-ssl.webflow.com/603491e542884769611f74df/6060fe040d123b5c8830d070_Fat%20Man.JPG,,,,,https://juan-diegos-portfolio.webflow.io/projects/chichiroo,https://juan-diegos-portfolio.webflow.io/projects/chines-character
